"game","turn","roll"
"11","13","0"
"11","14","0"
"11","15","0"
"11","16","1"
"12","1","1"
"12","2","1"
"12","3","0"
"12","4","0"
"12","5","1"
"12","6","0"
"12","7","0"
"12","8","0"
"12","9","1"
"12","10","0"
"12","11","1"
"12","12","1"
"12","13","0"
"12","14","0"
"12","15","1"
"12","16","0"
"13","1","1"
"13","2","1"
"13","3","0"
"13","4","1"
"13","5","1"
"13","6","0"
"13","7","1"
"13","8","0"
"13","9","0"
"13","10","1"
"13","11","0"
"13","12","0"
"13","13","0"
"13","14","1"
"13","15","1"
"13","16","0"
"14","1","1"
"14","2","0"
"14","3","0"
"14","4","0"
"14","5","1"
"14","6","0"
"14","7","0"
"14","8","1"
"14","9","0"
"14","10","0"
"14","11","0"
"14","12","0"
"14","13","1"
"14","14","1"
"14","15","0"
"14","16","0"
"15","1","1"
"15","2","0"
"15","3","0"
"15","4","0"
"15","5","0"
"15","6","1"
"15","7","0"
"15","8","1"
"15","9","0"
"15","10","1"
"15","11","1"
"15","12","0"
"15","13","0"
"15","14","0"
"15","15","1"
"15","16","0"
"16","1","1"
"16","2","0"
"16","3","0"
"16","4","0"
"16","5","1"
"16","6","0"
"16","7","0"
"16","8","0"
"16","9","0"
"16","10","1"
"16","11","0"
"16","12","0"
"16","13","0"
"16","14","0"
"16","15","1"
"16","16","0"
"17","1","1"
"17","2","0"
"17","3","1"
"17","4","0"
"17","5","1"
"17","6","1"
"17","7","0"
"17","8","1"
"17","9","0"
"17","10","1"
"17","11","0"
"17","12","0"
"17","13","1"
"17","14","0"
"17","15","0"
"17","16","1"
"18","1","1"
"18","2","0"
"18","3","0"
"18","4","1"
"18","5","0"
"18","6","1"
"18","7","0"
"18","8","0"
"18","9","0"
"18","10","1"
"18","11","0"
"18","12","0"
"18","13","0"
"18","14","0"
"18","15","1"
"18","16","0"
"19","1","1"
"19","2","0"
"19","3","1"
"19","4","1"
"19","5","0"
"19","6","0"
"19","7","1"
"19","8","0"
"19","9","1"
"19","10","0"
"19","11","0"
"19","12","1"
"19","13","0"
"19","14","1"
"19","15","0"
"19","16","1"
"20","1","1"
"20","2","1"
"20","3","0"
"20","4","1"
"20","5","0"
"20","6","0"
"20","7","1"
"20","8","0"
"20","9","0"
"20","10","0"
"20","11","0"
"20","12","1"
"20","13","0"
"20","14","0"
"20","15","0"
"20","16","0"
"21","1","1"
"21","2","0"
"21","3","1"
"21","4","0"
"21","5","0"
"21","6","1"
"21","7","1"
"21","8","0"
"21","9","0"
"21","10","1"
"21","11","0"
"21","12","1"
"21","13","0"
"21","14","1"
"21","15","0"
"21","16","0"
"22","1","1"
"22","2","0"
"22","3","1"
"22","4","0"
"22","5","0"
"22","6","1"
"22","7","0"
"22","8","0"
"22","9","1"
"22","10","0"
"22","11","1"
"22","12","0"
"22","13","0"
"22","14","0"
"22","15","1"
"22","16","0"
"23","1","1"
"23","2","0"
"23","3","0"
"23","4","0"
"23","5","1"
"23","6","0"
"23","7","0"
"23","8","0"
"23","9","0"
"23","10","1"
"23","11","0"
"23","12","0"
"23","13","1"
"23","14","0"
"23","15","0"
"23","16","0"
"24","1","1"
"24","2","0"
"24","3","0"
"24","4","0"
"24","5","0"
"24","6","1"
"24","7","0"
"24","8","1"
"24","9","0"
"24","10","0"
"24","11","0"
"24","12","0"
"24","13","1"
"24","14","0"
"24","15","1"
"24","16","0"
"25","1","1"
"25","2","0"
"25","3","1"
"25","4","0"
"25","5","0"
"25","6","0"
"25","7","1"
"25","8","0"
"25","9","0"
"25","10","0"
"25","11","0"
"25","12","1"
"25","13","0"
"25","14","0"
"25","15","1"
"25","16","1"
"26","1","1"
"26","2","0"
"26","3","0"
"26","4","0"
"26","5","0"
"26","6","1"
"26","7","0"
"26","8","0"
"26","9","1"
"26","10","0"
"26","11","0"
"26","12","0"
"26","13","0"
"26","14","1"
"26","15","0"
"26","16","0"
"27","1","1"
"27","2","0"
"27","3","1"
"27","4","0"
"27","5","0"
"27","6","0"
"27","7","0"
"27","8","1"
"27","9","0"
"27","10","0"
"27","11","0"
"27","12","1"
"27","13","0"
"27","14","0"
"27","15","0"
"27","16","0"
"28","1","1"
"28","2","1"
"28","3","0"
"28","4","0"
"28","5","0"
"28","6","0"
"28","7","1"
"28","8","1"
"28","9","0"
"28","10","0"
"28","11","0"
"28","12","0"
"28","13","1"
"28","14","0"
"28","15","0"
"28","16","0"
"29","1","1"
"29","2","1"
"29","3","1"
"29","4","0"
"29","5","1"
"29","6","0"
"29","7","1"
"29","8","0"
"29","9","0"
"29","10","0"
"29","11","0"
"29","12","1"
"29","13","0"
"29","14","1"
"29","15","0"
"29","16","0"
"30","1","1"
"30","2","0"
"30","3","0"
"30","4","0"
"30","5","0"
"30","6","1"
"30","7","0"
"30","8","0"
"30","9","1"
"30","10","1"
"30","11","0"
"30","12","1"
"30","13","0"
"30","14","0"
"30","15","1"
"30","16","0"
"31","1","1"
"31","2","0"
"31","3","0"
"31","4","0"
"31","5","0"
"31","6","1"
"31","7","0"
"31","8","0"
"31","9","1"
"31","10","1"
"31","11","0"
"31","12","0"
"31","13","0"
"31","14","0"
"31","15","1"
"31","16","1"
"32","1","1"
"32","2","1"
"32","3","0"
"32","4","0"
"32","5","0"
"32","6","0"
"32","7","1"
"32","8","0"
"32","9","0"
"32","10","0"
"32","11","0"
"32","12","1"
"32","13","0"
"32","14","0"
"32","15","0"
"32","16","0"
"33","1","1"
"33","2","0"
"33","3","0"
"33","4","0"
"33","5","0"
"33","6","1"
"33","7","1"
"33","8","1"
"33","9","0"
"33","10","0"
"33","11","1"
"33","12","0"
"33","13","0"
"33","14","0"
"33","15","1"
"33","16","0"
"34","1","1"
"34","2","0"
"34","3","1"
"34","4","0"
"34","5","0"
"34","6","1"
"34","7","0"
"34","8","1"
"34","9","0"
"34","10","1"
"34","11","0"
"34","12","1"
"34","13","0"
"34","14","1"
"34","15","0"
"34","16","0"
"35","1","1"
"35","2","0"
"35","3","1"
"35","4","0"
"35","5","0"
"35","6","0"
"35","7","0"
"35","8","1"
"35","9","0"
"35","10","0"
"35","11","0"
"35","12","0"
"35","13","1"
"35","14","0"
"35","15","1"
"35","16","0"
"36","1","1"
"36","2","0"
"36","3","0"
"36","4","1"
"36","5","0"
"36","6","0"
"36","7","1"
"36","8","0"
"36","9","1"
"36","10","1"
"36","11","1"
"36","12","0"
"36","13","0"
"36","14","0"
"36","15","0"
"36","16","1"
"37","1","1"
"37","2","1"
"37","3","0"
"37","4","0"
"37","5","0"
"37","6","1"
"37","7","0"
"37","8","0"
"37","9","1"
"37","10","0"
"37","11","0"
"37","12","1"
"37","13","0"
"37","14","1"
"37","15","0"
"37","16","0"
"38","1","1"
"38","2","0"
"38","3","0"
"38","4","0"
"38","5","1"
"38","6","1"
"38","7","1"
"38","8","0"
"38","9","0"
"38","10","0"
"38","11","1"
"38","12","0"
"38","13","0"
"38","14","0"
"38","15","1"
"38","16","0"
"39","1","1"
"39","2","0"
"39","3","1"
"39","4","0"
"39","5","0"
"39","6","1"
"39","7","0"
"39","8","1"
"39","9","0"
"39","10","0"
"39","11","1"
"39","12","0"
"39","13","0"
"39","14","0"
"39","15","1"
"39","16","0"
"40","1","1"
"40","2","0"
"40","3","0"
"40","4","0"
"40","5","1"
"40","6","0"
"40","7","1"
"40","8","0"
"40","9","1"
"40","10","0"
"40","11","1"
"40","12","1"
"40","13","1"
"40","14","0"
"40","15","0"
"40","16","1"
"41","1","1"
"41","2","0"
"41","3","0"
"41","4","1"
"41","5","0"
"41","6","1"
"41","7","0"
"41","8","0"
"41","9","0"
"41","10","1"
"41","11","0"
"41","12","0"
"41","13","0"
"41","14","1"
"41","15","0"
"41","16","1"
"42","1","1"
"42","2","0"
"42","3","0"
"42","4","1"
"42","5","1"
"42","6","0"
"42","7","0"
"42","8","0"
"42","9","0"
"42","10","1"
"42","11","0"
"42","12","0"
"42","13","0"
"42","14","1"
"42","15","0"
"42","16","0"
"43","1","1"
"43","2","1"
"43","3","0"
"43","4","0"
"43","5","0"
"43","6","0"
"43","7","1"
"43","8","0"
"43","9","0"
"43","10","0"
"43","11","0"
"43","12","1"
"43","13","0"
"43","14","1"
"43","15","0"
"43","16","0"
"44","1","1"
"44","2","0"
"44","3","0"
"44","4","0"
"44","5","0"
"44","6","1"
"44","7","1"
"44","8","1"
"44","9","0"
"44","10","0"
"44","11","1"
"44","12","0"
"44","13","0"
"44","14","0"
"44","15","1"
"44","16","1"
"45","1","1"
"45","2","0"
"45","3","1"
"45","4","1"
"45","5","0"
"45","6","0"
"45","7","0"
"45","8","1"
"45","9","0"
"45","10","0"
"45","11","1"
"45","12","1"
"45","13","0"
"45","14","0"
"45","15","0"
"45","16","1"
"46","1","1"
"46","2","0"
"46","3","0"
"46","4","1"
"46","5","0"
"46","6","0"
"46","7","1"
"46","8","0"
"46","9","1"
"46","10","0"
"46","11","0"
"46","12","0"
"46","13","1"
"46","14","0"
"46","15","0"
"46","16","0"
"47","1","1"
"47","2","0"
"47","3","0"
"47","4","0"
"47","5","0"
"47","6","1"
"47","7","0"
"47","8","0"
"47","9","0"
"47","10","0"
"47","11","1"
"47","12","0"
"47","13","0"
"47","14","0"
"47","15","1"
"47","16","0"
"48","1","1"
"48","2","0"
"48","3","0"
"48","4","0"
"48","5","0"
"48","6","1"
"48","7","1"
"48","8","0"
"48","9","1"
"48","10","0"
"48","11","0"
"48","12","1"
"48","13","1"
"48","14","0"
"48","15","0"
"48","16","0"
"49","1","1"
"49","2","0"
"49","3","0"
"49","4","0"
"49","5","0"
"49","6","1"
"49","7","0"
"49","8","0"
"49","9","0"
"49","10","0"
"49","11","1"
"49","12","1"
"49","13","0"
"49","14","1"
"49","15","0"
"49","16","1"
"50","1","1"
"50","2","0"
"50","3","1"
"50","4","0"
"50","5","1"
"50","6","1"
"50","7","1"
"50","8","0"
"50","9","0"
"50","10","0"
"50","11","0"
"50","12","1"
"50","13","0"
"50","14","1"
"50","15","0"
"50","16","1"
"51","1","1"
"51","2","0"
"51","3","0"
"51","4","0"
"51","5","0"
"51","6","1"
"51","7","0"
"51","8","0"
"51","9","0"
"51","10","0"
"51","11","1"
"51","12","0"
"51","13","0"
"51","14","0"
"51","15","1"
"51","16","1"
"52","1","1"
"52","2","0"
"52","3","0"
"52","4","0"
"52","5","0"
"52","6","1"
"52","7","0"
"52","8","1"
"52","9","0"
"52","10","0"
"52","11","0"
"52","12","0"
"52","13","1"
"52","14","0"
"52","15","0"
"52","16","0"
"53","1","1"
"53","2","0"
"53","3","1"
"53","4","0"
"53","5","0"
"53","6","1"
"53","7","0"
"53","8","0"
"53","9","0"
"53","10","0"
"53","11","1"
"53","12","0"
"53","13","0"
"53","14","0"
"53","15","1"
"53","16","0"
"54","1","1"
"54","2","1"
"54","3","0"
"54","4","1"
"54","5","1"
"54","6","0"
"54","7","0"
"54","8","0"
"54","9","1"
"54","10","0"
"54","11","1"
"54","12","0"
"54","13","0"
"54","14","0"
"54","15","0"
"54","16","1"
"55","1","1"
"55","2","0"
"55","3","0"
"55","4","1"
"55","5","0"
"55","6","0"
"55","7","1"
"55","8","0"
"55","9","0"
"55","10","1"
"55","11","0"
"55","12","0"
"55","13","1"
"55","14","0"
"55","15","1"
"55","16","0"
"56","1","1"
"56","2","0"
"56","3","0"
"56","4","0"
"56","5","1"
"56","6","0"
"56","7","0"
"56","8","0"
"56","9","1"
"56","10","0"
"56","11","0"
"56","12","1"
"56","13","0"
"56","14","0"
"56","15","0"
"56","16","0"
"57","1","1"
"57","2","0"
"57","3","0"
"57","4","0"
"57","5","1"
"57","6","0"
"57","7","0"
"57","8","0"
"57","9","0"
"57","10","1"
"57","11","0"
"57","12","0"
"57","13","0"
"57","14","1"
"57","15","0"
"57","16","1"
"58","1","1"
"58","2","0"
"58","3","0"
"58","4","1"
"58","5","0"
"58","6","0"
"58","7","1"
"58","8","0"
"58","9","0"
"58","10","0"
"58","11","0"
"58","12","1"
"58","13","0"
"58","14","0"
"58","15","0"
"58","16","0"
"59","1","1"
"59","2","0"
"59","3","0"
"59","4","0"
"59","5","0"
"59","6","1"
"59","7","0"
"59","8","1"
"59","9","0"
"59","10","0"
"59","11","0"
"59","12","0"
"59","13","1"
"59","14","0"
"59","15","1"
"59","16","0"
"60","1","1"
"60","2","0"
"60","3","0"
"60","4","0"
"60","5","1"
"60","6","0"
"60","7","0"
"60","8","0"
"60","9","1"
"60","10","0"
"60","11","1"
"60","12","0"
"60","13","1"
"60","14","0"
"60","15","0"
"60","16","0"
"61","1","1"
"61","2","0"
"61","3","0"
"61","4","0"
"61","5","0"
"61","6","1"
"61","7","1"
"61","8","0"
"61","9","0"
"61","10","0"
"61","11","0"
"61","12","1"
"61","13","1"
"61","14","1"
"61","15","1"
"61","16","0"
"62","1","1"
"62","2","0"
"62","3","0"
"62","4","0"
"62","5","1"
"62","6","0"
"62","7","1"
"62","8","0"
"62","9","0"
"62","10","0"
"62","11","1"
"62","12","0"
"62","13","0"
"62","14","0"
"62","15","1"
"62","16","0"
"63","1","1"
"63","2","0"
"63","3","0"
"63","4","0"
"63","5","0"
"63","6","1"
"63","7","0"
"63","8","0"
"63","9","0"
"63","10","1"
"63","11","1"
"63","12","0"
"63","13","1"
"63","14","0"
"63","15","0"
"63","16","0"
"64","1","1"
"64","2","0"
"64","3","0"
"64","4","1"
"64","5","0"
"64","6","1"
"64","7","0"
"64","8","0"
"64","9","0"
"64","10","0"
"64","11","1"
"64","12","0"
"64","13","0"
"64","14","1"
"64","15","1"
"64","16","1"
"65","1","1"
"65","2","0"
"65","3","0"
"65","4","0"
"65","5","0"
"65","6","1"
"65","7","0"
"65","8","0"
"65","9","1"
"65","10","0"
"65","11","0"
"65","12","0"
"65","13","1"
"65","14","0"
"65","15","1"
"65","16","0"
"66","1","1"
"66","2","0"
"66","3","0"
"66","4","1"
"66","5","0"
"66","6","0"
"66","7","0"
"66","8","1"
"66","9","0"
"66","10","1"
"66","11","1"
"66","12","1"
"66","13","0"
"66","14","0"
"66","15","0"
"66","16","1"
"67","1","1"
"67","2","1"
"67","3","0"
"67","4","0"
"67","5","1"
"67","6","0"
"67","7","1"
"67","8","0"
"67","9","0"
"67","10","1"
"67","11","0"
"67","12","1"
"67","13","0"
"67","14","0"
"67","15","0"
"67","16","1"
"68","1","1"
"68","2","0"
"68","3","0"
"68","4","1"
"68","5","0"
"68","6","0"
"68","7","0"
"68","8","1"
"68","9","1"
"68","10","1"
"68","11","0"
"68","12","0"
"68","13","1"
"68","14","0"
"68","15","1"
"68","16","0"
"69","1","1"
"69","2","0"
"69","3","1"
"69","4","0"
"69","5","0"
"69","6","0"
"69","7","1"
"69","8","0"
"69","9","1"
"69","10","1"
"69","11","0"
"69","12","0"
"69","13","1"
"69","14","1"
"69","15","0"
"69","16","1"
"70","1","1"
"70","2","1"
"70","3","0"
"70","4","1"
"70","5","0"
"70","6","0"
"70","7","0"
"70","8","0"
"70","9","1"
"70","10","1"
"70","11","0"
"70","12","0"
"70","13","1"
"70","14","0"
"70","15","0"
"70","16","0"
"71","1","1"
"71","2","0"
"71","3","0"
"71","4","1"
"71","5","0"
"71","6","0"
"71","7","0"
"71","8","1"
"71","9","0"
"71","10","0"
"71","11","0"
"71","12","1"
"71","13","0"
"71","14","0"
"71","15","1"
"71","16","0"
"72","1","1"
"72","2","0"
"72","3","1"
"72","4","0"
"72","5","1"
"72","6","1"
"72","7","0"
"72","8","1"
"72","9","1"
"72","10","1"
"72","11","0"
"72","12","0"
"72","13","0"
"72","14","0"
"72","15","1"
"72","16","1"
"73","1","1"
"73","2","1"
"73","3","1"
"73","4","0"
"73","5","0"
"73","6","0"
"73","7","1"
"73","8","0"
"73","9","0"
"73","10","1"
"73","11","0"
"73","12","1"
"73","13","0"
"73","14","0"
"73","15","1"
"73","16","0"
"74","1","1"
"74","2","0"
"74","3","0"
"74","4","0"
"74","5","1"
"74","6","0"
"74","7","0"
"74","8","0"
"74","9","0"
"74","10","1"
"74","11","0"
"74","12","0"
"74","13","0"
"74","14","0"
"74","15","1"
"74","16","0"
"75","1","1"
"75","2","0"
"75","3","1"
"75","4","0"
"75","5","0"
"75","6","0"
"75","7","1"
"75","8","0"
"75","9","0"
"75","10","0"
"75","11","1"
"75","12","0"
"75","13","1"
"75","14","1"
"75","15","1"
"75","16","0"
"76","1","1"
"76","2","0"
"76","3","0"
"76","4","0"
"76","5","0"
"76","6","1"
"76","7","0"
"76","8","0"
"76","9","0"
"76","10","1"
"76","11","0"
"76","12","0"
"76","13","0"
"76","14","1"
"76","15","1"
"76","16","1"
"77","1","1"
"77","2","0"
"77","3","0"
"77","4","0"
"77","5","0"
"77","6","1"
"77","7","0"
"77","8","0"
"77","9","0"
"77","10","1"
"77","11","0"
"77","12","1"
"77","13","0"
"77","14","0"
"77","15","0"
"77","16","1"
"78","1","1"
"78","2","0"
"78","3","0"
"78","4","0"
"78","5","0"
"78","6","1"
"78","7","0"
"78","8","0"
"78","9","0"
"78","10","1"
"78","11","0"
"78","12","0"
"78","13","0"
"78","14","0"
"78","15","1"
"78","16","0"
"79","1","1"
"79","2","0"
"79","3","0"
"79","4","0"
"79","5","0"
"79","6","1"
"79","7","0"
"79","8","0"
"79","9","0"
"79","10","1"
"79","11","1"
"79","12","1"
"79","13","1"
"79","14","0"
"79","15","0"
"79","16","0"
"80","1","1"
"80","2","0"
"80","3","0"
"80","4","1"
"80","5","1"
"80","6","0"
"80","7","0"
"80","8","1"
"80","9","0"
"80","10","1"
"80","11","1"
"80","12","0"
"80","13","0"
"80","14","1"
"80","15","0"
"80","16","0"
"81","1","1"
"81","2","0"
"81","3","0"
"81","4","1"
"81","5","0"
"81","6","1"
"81","7","1"
"81","8","0"
"81","9","0"
"81","10","1"
"81","11","0"
"81","12","0"
"81","13","1"
"81","14","0"
"81","15","0"
"81","16","0"
"82","1","1"
"82","2","0"
"82","3","1"
"82","4","0"
"82","5","1"
"82","6","0"
"82","7","0"
"82","8","1"
"82","9","0"
"82","10","0"
"82","11","0"
"82","12","1"
"82","13","0"
"82","14","0"
"82","15","0"
"82","16","0"
"83","1","1"
"83","2","0"
"83","3","0"
"83","4","0"
"83","5","1"
"83","6","0"
"83","7","1"
"83","8","0"
"83","9","0"
"83","10","0"
"83","11","0"
"83","12","1"
"83","13","0"
"83","14","0"
"83","15","0"
"83","16","0"
"84","1","1"
"84","2","0"
"84","3","0"
"84","4","0"
"84","5","0"
"84","6","1"
"84","7","0"
"84","8","0"
"84","9","1"
"84","10","0"
"84","11","0"
"84","12","1"
"84","13","1"
"84","14","0"
"84","15","1"
"84","16","1"
"85","1","1"
"85","2","0"
"85","3","1"
"85","4","0"
"85","5","0"
"85","6","1"
"85","7","0"
"85","8","1"
"85","9","0"
"85","10","1"
"85","11","0"
"85","12","0"
"85","13","0"
"85","14","0"
"85","15","1"
"85","16","0"
"86","1","1"
"86","2","0"
"86","3","0"
"86","4","1"
"86","5","0"
"86","6","0"
"86","7","0"
"86","8","0"
"86","9","1"
"86","10","1"
"86","11","0"
"86","12","1"
"86","13","0"
"86","14","0"
"86","15","0"
"86","16","0"
"87","1","1"
"87","2","1"
"87","3","1"
"87","4","0"
"87","5","1"
"87","6","0"
"87","7","1"
"87","8","0"
"87","9","0"
"87","10","1"
"87","11","0"
"87","12","0"
"87","13","0"
"87","14","1"
"87","15","0"
"87","16","0"
"88","1","1"
"88","2","0"
"88","3","0"
"88","4","0"
"88","5","0"
"88","6","1"
"88","7","0"
"88","8","0"
"88","9","0"
"88","10","0"
"88","11","1"
"88","12","0"
"88","13","1"
"88","14","0"
"88","15","0"
"88","16","0"
"89","1","1"
"89","2","0"
"89","3","1"
"89","4","0"
"89","5","0"
"89","6","1"
"89","7","0"
"89","8","0"
"89","9","0"
"89","10","0"
"89","11","1"
"89","12","0"
"89","13","0"
"89","14","0"
"89","15","1"
"89","16","0"
"90","1","1"
"90","2","0"
"90","3","1"
"90","4","1"
"90","5","1"
"90","6","0"
"90","7","0"
"90","8","1"
"90","9","0"
"90","10","1"
"90","11","1"
"90","12","1"
"90","13","0"
"90","14","0"
"90","15","0"
"90","16","1"
"91","1","1"
"91","2","0"
"91","3","0"
"91","4","0"
"91","5","1"
"91","6","0"
"91","7","0"
"91","8","1"
"91","9","0"
"91","10","0"
"91","11","1"
"91","12","1"
"91","13","0"
"91","14","0"
"91","15","1"
"91","16","1"
"92","1","1"
"92","2","0"
"92","3","1"
"92","4","0"
"92","5","0"
"92","6","0"
"92","7","0"
"92","8","1"
"92","9","0"
"92","10","0"
"92","11","0"
"92","12","1"
"92","13","0"
"92","14","0"
"92","15","1"
"92","16","0"
"93","1","1"
"93","2","1"
"93","3","0"
"93","4","0"
"93","5","1"
"93","6","0"
"93","7","1"
"93","8","0"
"93","9","0"
"93","10","0"
"93","11","1"
"93","12","0"
"93","13","1"
"93","14","0"
"93","15","0"
"93","16","0"
"94","1","1"
"94","2","1"
"94","3","0"
"94","4","0"
"94","5","0"
"94","6","0"
"94","7","1"
"94","8","0"
"94","9","0"
"94","10","0"
"94","11","0"
"94","12","1"
"94","13","0"
"94","14","1"
"94","15","0"
"94","16","0"
"95","1","1"
"95","2","0"
"95","3","0"
"95","4","1"
"95","5","0"
"95","6","0"
"95","7","0"
"95","8","0"
"95","9","1"
"95","10","1"
"95","11","0"
"95","12","0"
"95","13","1"
"95","14","1"
"95","15","1"
"95","16","0"
"96","1","1"
"96","2","0"
"96","3","0"
"96","4","1"
"96","5","0"
"96","6","0"
"96","7","1"
"96","8","0"
"96","9","0"
"96","10","1"
"96","11","0"
"96","12","0"
"96","13","0"
"96","14","1"
"96","15","0"
"96","16","0"
"97","1","1"
"97","2","0"
"97","3","1"
"97","4","0"
"97","5","0"
"97","6","1"
"97","7","0"
"97","8","1"
"97","9","1"
"97","10","0"
"97","11","0"
"97","12","0"
"97","13","1"
"97","14","0"
"97","15","1"
"97","16","0"
"98","1","1"
"98","2","0"
"98","3","0"
"98","4","1"
"98","5","0"
"98","6","0"
"98","7","1"
"98","8","0"
"98","9","0"
"98","10","0"
"98","11","0"
"98","12","1"
"98","13","1"
"98","14","0"
"98","15","0"
"98","16","1"
"99","1","1"
"99","2","0"
"99","3","0"
"99","4","0"
"99","5","0"
"99","6","1"
"99","7","0"
"99","8","0"
"99","9","1"
"99","10","0"
"99","11","0"
"99","12","1"
"99","13","0"
"99","14","0"
"99","15","0"
"99","16","1"
"100","1","1"
"100","2","0"
"100","3","0"
"100","4","0"
"100","5","1"
"100","6","0"
"100","7","0"
"100","8","0"
"100","9","0"
"100","10","1"
"100","11","0"
"100","12","0"
"100","13","1"
"100","14","0"
"100","15","0"
"100","16","0"
"101","1","1"
"101","2","1"
"101","3","0"
"101","4","0"
"101","5","0"
"101","6","1"
"101","7","0"
"101","8","0"
"101","9","0"
"101","10","0"
"101","11","1"
"101","12","1"
"101","13","0"
"101","14","0"
"101","15","0"
"101","16","1"
"102","1","1"
"102","2","0"
"102","3","1"
"102","4","0"
"102","5","0"
"102","6","1"
"102","7","0"
"102","8","0"
"102","9","1"
"102","10","0"
"102","11","0"
"102","12","1"
"102","13","0"
"102","14","0"
"102","15","0"
"102","16","1"
"103","1","1"
"103","2","0"
"103","3","0"
"103","4","1"
"103","5","1"
"103","6","0"
"103","7","1"
"103","8","0"
"103","9","1"
"103","10","0"
"103","11","0"
"103","12","0"
"103","13","1"
"103","14","0"
"103","15","1"
"103","16","0"
"104","1","1"
"104","2","0"
"104","3","0"
"104","4","1"
"104","5","0"
"104","6","0"
"104","7","0"
"104","8","0"
"104","9","1"
"104","10","0"
"104","11","0"
"104","12","0"
"104","13","1"
"104","14","1"
"104","15","0"
"104","16","0"
"105","1","1"
"105","2","1"
"105","3","0"
"105","4","0"
"105","5","0"
"105","6","0"
"105","7","1"
"105","8","0"
"105","9","1"
"105","10","0"
"105","11","0"
"105","12","1"
"105","13","0"
"105","14","1"
"105","15","0"
"105","16","1"
"106","1","1"
"106","2","0"
"106","3","0"
"106","4","0"
"106","5","0"
"106","6","1"
"106","7","1"
"106","8","0"
"106","9","0"
"106","10","0"
"106","11","0"
"106","12","1"
"106","13","0"
"106","14","0"
"106","15","0"
"106","16","0"
"107","1","1"
"107","2","0"
"107","3","0"
"107","4","1"
"107","5","0"
"107","6","0"
"107","7","0"
"107","8","1"
"107","9","0"
"107","10","0"
"107","11","0"
"107","12","0"
"107","13","1"
"107","14","0"
"107","15","0"
"107","16","0"
"108","1","1"
"108","2","0"
"108","3","0"
"108","4","0"
"108","5","0"
"108","6","1"
"108","7","0"
"108","8","1"
"108","9","0"
"108","10","0"
"108","11","1"
"108","12","0"
"108","13","1"
"108","14","1"
"108","15","0"
"108","16","0"
"109","1","1"
"109","2","0"
"109","3","0"
"109","4","1"
"109","5","0"
"109","6","0"
"109","7","1"
"109","8","0"
"109","9","0"
"109","10","1"
"109","11","1"
"109","12","0"
"109","13","0"
"109","14","0"
"109","15","1"
"109","16","1"
"110","1","1"
"110","2","1"
"110","3","1"
